model_name,parent_name,parent_kind
mart_indicator_latest_values,fact_kommune_indicators,model
mart_indicator_missing_kommuner,dim_kommune,model
mart_indicator_missing_kommuner,fact_kommune_indicators,model
mart_indicator_summary,fact_kommune_indicators,model
mart_indicator_summary,mart_meta_sources,model
mart_kommune_befolkning_alder,dim_fylke,model
mart_kommune_befolkning_alder,dim_kommune,model
mart_kommune_befolkning_alder,indicators__ssb_07459,model
mart_kommune_local_chapters,dim_activity,model
mart_kommune_local_chapters,dim_chapter,model
mart_kommune_local_chapters,fact_chapter_activities,model
mart_kommune_ngo_summary,dim_brreg_enhet,model
mart_kommune_ngo_summary,dim_kommune,model
mart_kommune_ngo_totals,mart_kommune_ngo_summary,model
mart_meta_endpoints,mart_meta_sources,model
mart_meta_sources,fact_kommune_indicators,model
mart_ngo_index,dim_chapter,model
mart_ngo_overview,dim_activity,model
mart_ngo_overview,dim_chapter,model
mart_unattributed_totals,dim_brreg_enhet,model
mart_unattributed_totals,dim_kommune,model
mart_unattributed_totals,fact_kommune_indicators,model
supply__redcross_branch_activities,redcross-branches,source
supply__redcross_branches,redcross-branches,source
supply__redcross_chapter_kommune_coverage,dim_chapter,model
